time,mag,mag.error,phase
2224.68163,15.001,0.006,0.777245199533437
2226.61308,15.166,0.006,0.683359554530515
2229.59566,15.012,0.006,0.80368809160095
2231.54716,15.041,0.006,0.771112650236836
2233.55191,15.071,0.006,0.90136854771307
2235.63728,15.024,0.005,0.278149563259633
2237.55678,15.309,0.007,0.147722425314815
2242.59422,15.513,0.007,0.551536500975501
2244.61587,15.065,0.006,0.733470325708411
2250.54623,15.035,0.006,0.867713679819956
2252.59681,15.328,0.006,0.138111553991603
2255.58104,15.045,0.006,0.263485569167428
2257.60164,15.11,0.006,0.442208635105367
2262.59401,15.097,0.006,0.708204711863449
2264.57858,15.019,0.006,0.776752883183827
2266.54898,15.003,0.006,0.801971100112508
2271.56046,15.386,0.006,0.126402986923382
2273.55876,15.078,0.006,0.236935651806703
2275.59183,15.13,0.006,0.453790300754733
2277.57619,15.368,0.006,0.521696320317229
2280.54385,15.514,0.007,0.596401503858291
2284.58432,15.131,0.006,0.95161539390531
2289.57798,15.102,0.006,0.221556117182977
2291.57766,15.015,0.006,0.336308636481792
2293.55595,15.031,0.006,0.385653412348113
2295.54661,15.192,0.006,0.472823984673483
2297.54812,15.524,0.007,0.593172397870953
2299.55367,15.087,0.006,0.725874587759689
2301.54533,15.016,0.006,0.816103025603815
2444.92465,15.053,0.006,0.250781666872613
2458.92825,15.565,0.007,0.0719072365903445
2463.89188,15.06,0.006,0.250020258359477
2465.90438,15.044,0.006,0.403974613599113
2467.87832,15.111,0.006,0.440017674461073
2469.878,15.507,0.007,0.554770193761279
2471.88605,15.123,0.006,0.695117047446903
2473.86349,15.048,0.006,0.741862637623116
2483.83582,15.087,0.006,0.235906680059147
2486.85146,15.13,0.007,0.457328251159666
2488.84306,15.492,0.008,0.547373217073167
2489.89955,15.049,0.005,0.777977558324049
2492.88105,15.064,0.006,0.895003600636287
2495.86995,15.516,0.005,0.0346578477819195
2496.88049,15.411,0.006,0.124753268475473
2497.90367,15.053,0.006,0.253500109317974
2498.9065,14.996,0.005,0.320019386867153
2499.83697,15.24,0.007,0.165271515522525
2500.84136,15.079,0.006,0.236561063280461
2501.83139,15.039,0.006,0.263939662196246
2502.8111,15.038,0.006,0.259761088966708
2503.82655,15.017,0.005,0.364870629354625
2511.83501,15.027,0.006,0.853664316696388
2516.86911,15.063,0.006,0.2472651215266
2517.79725,15.571,0.007,0.0853924235267206
2518.77159,15.568,0.007,0.0647931124624675
2520.76857,15.207,0.006,0.171289394863702
2526.75506,15.171,0.006,0.477170740507832
2534.80897,15.488,0.007,0.10494441564966
2535.86941,14.999,0.006,0.347627325696567
2537.67947,15.041,0.006,0.882547385447467
2538.76809,15.099,0.006,0.211400945796826
2539.677,15.251,0.006,0.990725493882905
2540.69847,15.448,0.008,0.114243384688724
2541.68243,15.403,0.006,0.123060739911115
2542.65854,15.472,0.007,0.107873850814892
2544.63963,15.215,0.006,0.165780650132616
2545.65255,15.03,0.006,0.263153790757637
2547.67028,15.095,0.006,0.433100782659139
2548.68912,15.491,0.007,0.548576487154469
2550.68391,15.292,0.006,0.648376044070519
2551.67055,15.222,0.006,0.665388478878892
2552.6867,15.031,0.005,0.77263852512966
2554.68,15.031,0.006,0.867881862421986
2555.68783,15.126,0.006,0.94969046756216
2556.6669,15.125,0.006,0.943554860400396
2557.67919,15.466,0.006,0.0390015457497151
2558.63603,15.157,0.006,0.964889588120425
2559.59192,15.048,0.006,0.887872658247929
2560.62578,15.51,0.007,0.0492775028230061
2561.65146,15.168,0.007,0.185669007462395
2562.64406,15.087,0.006,0.220906320760102
2563.65202,15.018,0.006,0.303112448417325
2564.66762,15.067,0.006,0.4086806686325
2565.64904,15.064,0.006,0.409731045437586
2566.63642,15.077,0.006,0.429006300730616
2568.63914,15.53,0.009,0.553054731206113
2573.63345,15.037,0.005,0.8249830670683
2574.61707,15.017,0.006,0.83276074801437
2575.63437,15.132,0.005,0.94352733961115
2576.61693,15.136,0.006,0.94806368310645
2577.60276,15.165,0.007,0.962599246847912
2578.60122,15.358,0.007,0.0157556520818549
2579.61083,15.49,0.007,0.103007257843078
2580.59859,15.398,0.007,0.123444502034236
2583.59419,15.035,0.006,0.283586448150356
2584.602,15.015,0.006,0.365333895978931
2587.58547,15.235,0.006,0.488383933362672
2588.61359,15.36,0.006,0.632236629864153
2589.57069,15.522,0.007,0.558919717269684
2590.59008,15.191,0.006,0.676077247797827
2591.59134,15.083,0.006,0.737795676483839
2593.58141,15.019,0.006,0.823162108151809
2594.58578,15.065,0.006,0.894390498599537
2596.56094,15.103,0.006,0.934164155393934
2597.54917,15.142,0.006,0.956038596377072
2598.59627,15.254,0.006,0.157929580414296
2599.57852,15.251,0.007,0.161517985600672
2606.66323,15.022,0.006,0.825608400568482
2609.60612,15.014,0.006,0.824570255224047
2611.57607,15.028,0.006,0.848412432669566
2614.58142,15.445,0.007,0.0383685675887122
2618.57467,15.073,0.006,0.24919004786975
2620.57243,15.032,0.006,0.358071465374668
2623.58009,15.524,0.007,0.555091269640915
