time,mag,mag.error,phase
54169.32158,17.114,0.13,0.663409055999166
54205.226248,17.18,0.12,0.682971993590402
54205.235515,17.255,0.127,0.69226864799168
54205.244735,17.168,0.117,0.701518151991593
54205.254269,17.365,0.14,0.711082660788658
54205.263737,17.28,0.13,0.720580958392506
54453.400248,17.482,0.115,0.651128793591144
54453.413264,17.35,0.098,0.664186444795586
54453.426284,17.402,0.102,0.677248108794086
54453.439303,17.533,0.104,0.690308769592247
54453.45235,17.31,0.091,0.703397519992618
54477.39839,17.144,0.098,0.726064847994712
54477.411342,17.273,0.107,0.739058294392016
54477.424405,17.244,0.1,0.752163095990522
54477.437246,17.228,0.096,0.765045187193924
54477.450111,17.216,0.089,0.777951355190878
54539.262513,17.179,0.098,0.788153041597176
54539.273377,17.151,0.076,0.799051806393382
54539.284246,17.243,0.078,0.809955587198585
54539.295166,17.311,0.076,0.820910531199211
54539.306161,17.265,0.074,0.831940715196112
54568.236671,17.265,0.111,0.85502834719175
54568.247769,17.208,0.107,0.866161860794434
54568.258748,17.249,0.109,0.8771759935932
54568.269927,17.155,0.1,0.888390766394196
54568.28107,17.268,0.107,0.899569423990266
54581.273108,17.193,0.096,0.933181945594295
54597.202529,17.05,0.17,0.913577092792291
54597.213122,16.928,0.154,0.924203990391351
54597.223846,16.983,0.159,0.934962307191105
54597.234408,17.062,0.17,0.945558105586935
54597.245012,17.02,0.165,0.95619603838973
54612.203209,17.308,0.172,0.962259268790285
54612.211774,18.084,0.351,0.970851676794025
54612.221256,17.294,0.168,0.980364019188029
54612.229815,17.503,0.21,0.98895040798973
54612.238331,17.552,0.216,0.997493659191427
54620.17112,17.134,0.1,0.955667583992297
54620.181336,17.158,0.107,0.965916275194706
54620.191458,17.056,0.098,0.976070665594388
54620.201583,17.11,0.098,0.986228065595089
54620.2117,17.069,0.096,0.996377439993073
