time,mag,mag.error,phase
2984.56483,16.793,0.016,0.677269108482934
2987.63994,16.827,0.015,0.720210774792188
2989.56222,16.898,0.014,0.747054011721253
2995.60687,17.287,0.015,0.831463136356218
2998.56898,17.274,0.021,0.872826840155853
3001.56621,17.212,0.019,0.914680969117768
3004.55814,16.905,0.015,0.956461087448703
3007.56582,16.847,0.014,0.99846114303208
3010.56339,16.828,0.014,0.040320019845794
3016.58055,16.768,0.015,0.124345266698553
3019.59399,16.783,0.015,0.16642575647711
3021.60793,16.78,0.012,0.194548958394071
3023.56324,16.838,0.014,0.221853435161124
3025.56223,16.878,0.015,0.249767871241633
3027.5959,16.891,0.015,0.27816658820562
3029.56779,16.918,0.015,0.305702592569223
3031.57217,16.969,0.015,0.333692296065011
3033.57463,17.093,0.017,0.361655188162409
3036.5919,16.955,0.017,0.403789161095054
3040.5549,16.885,0.017,0.459129563091591
3160.85236,16.795,0.015,0.138995774437032
3183.90427,16.937,0.016,0.460898869614407
3193.872,16.77,0.013,0.600090942587636
3195.93102,16.787,0.012,0.628843653796041
3197.90658,16.765,0.013,0.656430907030527
3201.86403,16.831,0.013,0.711693807328584
3203.87116,16.918,0.012,0.739721912566864
3204.93958,16.93,0.015,0.754641617916634
3210.88579,17.267,0.019,0.837676099813125
3211.91402,17.295,0.018,0.852034581151736
3215.69248,17.267,0.022,0.904798016763097
3216.7167,17.242,0.022,0.919100501379014
3217.78979,17.087,0.017,0.934085419869666
3223.82728,16.854,0.015,0.018394560331453
3226.8158,16.827,0.015,0.0601270605016968
3229.82488,16.789,0.012,0.102146666063076
3231.77555,16.813,0.017,0.129386348617344
3239.78509,16.816,0.013,0.241233727725929
3240.7744,16.914,0.016,0.255048719676266
3241.84362,16.918,0.018,0.269979596442038
3242.70614,16.873,0.014,0.282024058599502
3243.83872,16.938,0.015,0.29783971151226
3244.81982,16.919,0.016,0.311540056805926
3245.76527,16.921,0.016,0.324742575874209
3246.76151,16.934,0.016,0.338654340215623
3247.75287,16.947,0.016,0.352497958919455
3249.72002,17.159,0.018,0.379967772643276
3251.73274,16.964,0.013,0.408073938150833
3254.7201,16.934,0.013,0.449790239767884
3256.78595,16.877,0.013,0.478638326940364
3258.72201,16.866,0.015,0.505673991509985
3260.69606,16.803,0.014,0.533240158696781
3262.73204,16.743,0.011,0.561671133124458
3264.68376,16.723,0.011,0.588925478162227
3266.75471,16.701,0.012,0.617844783111694
3268.688,16.731,0.011,0.644841766653424
3270.66834,16.775,0.014,0.672495769098496
3271.65584,16.787,0.014,0.686285485720137
3272.7127,16.795,0.013,0.701043764108748
3274.6948,16.864,0.014,0.728722343669015
3276.70365,16.925,0.016,0.756774467451685
3277.7365,16.939,0.015,0.771197463717677
3279.6691,17.103,0.015,0.798184811913111
3281.62854,17.251,0.015,0.825546961115254
3283.63433,17.332,0.014,0.853556354231735
3287.60045,17.25,0.018,0.908940324750659
3289.61139,17.075,0.014,0.937021633857628
3293.5884,16.88,0.013,0.992557675276815
3295.60715,16.833,0.01,0.0207480453324521
3297.58839,16.788,0.01,0.0484146156205211
3299.64529,16.783,0.011,0.0771377225765326
3301.61944,16.786,0.016,0.104705286190325
3303.68163,16.739,0.014,0.133502264134619
3306.61422,16.752,0.01,0.174453742683953
3308.60205,16.796,0.016,0.202212337511299
3310.60124,16.825,0.013,0.230129566445806
3312.64326,16.833,0.012,0.258644885064266
3314.55592,16.835,0.017,0.285353785715966
3320.59364,17.109,0.015,0.369666137959854
3321.58934,17.106,0.016,0.38357036159547
3323.53722,16.965,0.015,0.410771083836454
3327.54842,16.91,0.015,0.466784563646823
3330.54239,16.868,0.015,0.50859316908855
3335.58347,16.792,0.015,0.578988171283021
3338.59047,16.732,0.012,0.620978731162804
3349.58759,16.946,0.012,0.774545484027837
3353.56487,17.238,0.018,0.830085295799924
3360.57573,17.123,0.016,0.9279868377483
3363.54542,16.916,0.015,0.969456390714508
3367.60861,16.806,0.014,0.026195872922006
3375.54162,16.778,0.012,0.136974566447747
3378.58714,16.846,0.014,0.1795030300078
3386.55355,16.885,0.012,0.290748130151432
3390.56198,17.024,0.018,0.34672292893391
3398.549,16.916,0.014,0.458255832682171
3402.53711,16.887,0.013,0.513946877498323
3538.94584,16.955,0.018,0.418795213111925
3547.90711,16.855,0.013,0.54393280690438
3554.9153,16.765,0.013,0.641797064251867
3556.87095,16.783,0.014,0.66910628887072
3558.88889,16.773,0.012,0.697285347867666
3559.87716,16.793,0.012,0.711085816977205
3560.89533,16.827,0.011,0.725303817759643
3561.885,16.835,0.011,0.739123836847186
3561.93448,16.837,0.011,0.739814788926613
3562.8579,16.861,0.012,0.752709675126877
3562.88671,16.866,0.012,0.753111985745482
3562.9206,16.837,0.011,0.753585234855663
3562.94738,16.851,0.013,0.753959198006174
3563.84279,16.875,0.016,0.766462945003833
3563.87946,16.882,0.016,0.766975014784608
3563.94125,16.902,0.015,0.767837867027694
3564.82304,16.939,0.014,0.780151420668003
3564.86429,16.947,0.013,0.78072744680536
3564.90256,16.957,0.012,0.78126185941813
3564.93667,16.945,0.012,0.781738180667714
3568.82272,17.31,0.016,0.836004032088011
3568.85614,17.262,0.017,0.836470717991294
3568.88958,17.282,0.015,0.836937683179983
3568.9121,17.247,0.016,0.837252158540306
